ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.5158,0.417,0.5047,0.515,0.4934,0.4736,0.4742,0.442,0.4935,0.4457
TXN,0.3491,0.3495,0.5237,0.3285,0.3155,0.2908,0.4014,0.3632,0.3277,0.3404
SYK,0.3831,0.4637,0.5298,0.5499,0.4456,0.5623,0.4625,0.4539,0.5001,0.4555
DHR,0.4798,0.3925,0.4524,0.3802,0.3561,0.4311,0.3808,0.3572,0.3175,0.3409
LLY,0.1996,0.2715,0.2746,0.6976,0.7792,0.7305,0.7489,0.6616,0.2505,0.6524
TSLA,0.1855,0.1834,0.1543,0.2062,0.176,0.1656,0.1848,0.2976,0.2254,0.2194
INTU,0.5868,0.521,0.5523,0.5541,0.5111,0.4829,0.485,0.4441,0.5277,0.5442
NKE,0.2359,0.484,0.4603,0.4023,0.4801,0.3778,0.398,0.5438,0.3192,0.3008
LRCX,0.4107,0.4269,0.5098,0.4881,0.3034,0.4296,0.2624,0.4438,0.3352,0.3225
MS,0.4636,0.7853,0.8083,0.918,0.9398,0.9036,0.905,0.5642,0.6513,0.7092
COST,0.3428,0.3124,0.3153,0.3819,0.3436,0.2745,0.2575,0.3608,0.3032,0.317
NVDA,0.285,0.2722,0.2625,0.3993,0.3637,0.3538,0.4262,0.3903,0.4042,0.4353
UPS,0.357,0.254,0.4684,0.4419,0.3982,0.2903,0.3228,0.3381,0.3166,0.4241
ELV,0.2225,0.2914,0.2423,0.3534,0.3053,0.2875,0.3761,0.4975,0.3357,0.3667
MRK,0.3555,0.4885,0.4226,0.444,0.3963,0.3392,0.3251,0.4304,0.2552,0.3274
QCOM,0.4077,0.5647,0.4203,0.2973,0.2337,0.2728,0.2659,0.2387,0.3304,0.3315
ADBE,0.5441,0.6176,0.4431,0.4559,0.5034,0.4222,0.5643,0.4177,0.6793,0.5044
ORCL,0.4563,0.4945,0.4903,0.4899,0.5291,0.5451,0.506,0.5773,0.4935,0.5953
KO,0.3877,0.4499,0.4959,0.5659,0.4804,0.297,0.4394,0.4072,0.4559,0.3066
PG,0.5789,0.4025,0.3709,0.3867,0.707,0.6041,0.5532,0.6345,0.5516,0.7267
ADP,0.5469,0.539,0.6292,0.4032,0.4824,0.4718,0.612,0.5687,0.4435,0.505
BKNG,0.3438,0.4283,0.4268,0.4069,0.3654,0.294,0.2792,0.3233,0.3882,0.4494
MMC,0.8031,0.6485,0.7128,0.7199,0.4546,0.4834,0.7259,0.7294,0.5095,0.3631
CSCO,0.5703,0.517,0.6136,0.4574,0.4902,0.5378,0.4796,0.6162,0.5255,0.492
MCD,0.3128,0.3034,0.344,0.3361,0.3594,0.4837,0.6529,0.4889,0.5373,0.4675
MO,0.2473,0.2779,0.5663,0.2891,0.1894,0.1481,0.2444,0.2987,0.2058,0.5826
BA,0.3479,0.3584,0.3192,0.3645,0.3678,0.3434,0.3802,0.3619,0.3571,0.3636
MU,0.84,0.7432,0.4704,0.7413,0.4154,0.2735,0.6533,0.2687,0.2067,0.2926
TMO,0.3176,0.3806,0.4908,0.3503,0.2725,0.3369,0.2894,0.2756,0.3397,0.4798
AMT,0.3566,0.359,0.3585,0.3605,0.3167,0.3659,0.3359,0.4393,0.3795,0.3499
BSX,0.4612,0.3825,0.6343,0.5882,0.2323,0.4082,0.4664,0.4674,0.6029,0.2621
AVGO,0.4035,0.3373,0.499,0.608,0.6107,0.4625,0.4464,0.4769,0.4422,0.4863
CME,0.7519,0.7038,0.6246,0.6387,0.4517,0.6186,0.6191,0.5864,0.4939,0.5847
PEP,0.4934,0.4357,0.3829,0.334,0.4488,0.473,0.4348,0.3526,0.3163,0.2549
HON,0.4501,0.3653,0.5591,0.3843,0.4234,0.4292,0.7932,0.8909,0.7388,0.7916
META,0.3447,0.3372,0.3422,0.2675,0.5147,0.4229,0.341,0.4041,0.3604,0.4145
MA,0.4166,0.3836,0.4522,0.3698,0.3695,0.5425,0.4312,0.3895,0.5565,0.5373
AMGN,0.355,0.1511,0.4624,0.2578,0.3626,0.3432,0.2684,0.2577,0.2635,0.2715
CRM,0.4963,0.5113,0.5084,0.5295,0.5651,0.4734,0.4759,0.4819,0.5416,0.4939
TMUS,0.3672,0.4288,0.358,0.2944,0.3542,0.3228,0.2951,0.3585,0.3235,0.5274
ABBV,0.1736,0.1672,0.3132,0.2752,0.2247,0.245,0.1674,0.1946,0.1363,0.1384
PLD,0.3546,0.3339,0.3819,0.4692,0.5836,0.5403,0.3336,0.7509,0.306,0.4328
ADI,0.5677,0.6266,0.7239,0.7306,0.5823,0.5297,0.2953,0.3475,0.4838,0.3427
APH,0.4914,0.519,0.5046,0.5332,0.5909,0.4758,0.4609,0.5278,0.4007,0.3573
AAPL,0.4153,0.5459,0.4834,0.4929,0.399,0.6303,0.6109,0.3447,0.5092,0.6872
PANW,0.4463,0.4397,0.4264,0.4769,0.4248,0.4518,0.4956,0.4584,0.444,0.4435
LOW,0.3366,0.3109,0.3084,0.3257,0.5034,0.2772,0.5563,0.3312,0.3337,0.2885
EQIX,0.4618,0.3665,0.4431,0.4177,0.4249,0.5416,0.5204,0.4859,0.4118,0.4092
LMT,0.5341,0.5143,0.3978,0.448,0.6607,0.6012,0.5244,0.5126,0.4676,0.4882
ABT,0.6192,0.4143,0.3316,0.26,0.517,0.3995,0.4964,0.4121,0.5598,0.5164
BAC,0.7756,0.8101,0.8109,0.7032,0.8461,0.8268,0.7838,0.7923,0.8067,0.7085
DIS,0.2281,0.2569,0.889,0.2931,0.6382,0.5142,0.5686,0.706,0.3162,0.576
BRK-B,0.2604,0.2401,0.2333,0.2282,0.2672,0.2607,0.3225,0.4921,0.2495,0.268
NFLX,0.3646,0.3658,0.354,0.4373,0.3398,0.2737,0.287,0.3409,0.3402,0.72
PM,0.4321,0.2016,0.2207,0.1902,0.6018,0.1454,0.1602,0.1447,0.1513,0.1588
ICE,0.4837,0.6391,0.4113,0.4096,0.5387,0.5222,0.4752,0.4389,0.4774,0.4334
MSFT,0.4829,0.637,0.5102,0.4864,0.4876,0.4889,0.492,0.5116,0.476,0.5055
BLK,0.528,0.3401,0.4771,0.4286,0.3899,0.424,0.3681,0.3775,0.3673,0.3703
CMCSA,0.4026,0.324,0.4027,0.413,0.3895,0.355,0.5181,0.8382,0.8048,0.7121
GS,0.4916,0.8516,0.6125,0.5118,0.8094,0.7589,0.5774,0.757,0.8054,0.6519
AMZN,0.4375,0.4648,0.4724,0.4045,0.3965,0.456,0.4397,0.471,0.4132,0.438
AMAT,0.2746,0.3953,0.2878,0.2991,0.3174,0.4411,0.3813,0.3491,0.3414,0.393
COP,0.5004,0.4717,0.2268,0.3946,0.5184,0.5503,0.4208,0.2523,0.2826,0.5019
BMY,0.1917,0.2187,0.1991,0.388,0.6147,0.4929,0.5963,0.61,0.6071,0.6957
KKR,0.3509,0.5649,0.2739,0.3502,0.3731,0.6613,0.5708,0.5395,0.5332,0.6844
TJX,0.6147,0.6889,0.3053,0.4801,0.299,0.5615,0.2959,0.2918,0.4533,0.4199
NOW,0.5275,0.4917,0.4593,0.5223,0.5363,0.6528,0.5269,0.5209,0.501,0.4208
UNH,0.465,0.4519,0.5188,0.3372,0.3779,0.3337,0.3042,0.3188,0.3766,0.2628
FI,0.5404,0.5502,0.5257,0.4922,0.5489,0.6198,0.5142,0.5108,0.4631,0.556
V,0.4884,0.5578,0.5975,0.4755,0.4407,0.4795,0.4957,0.3766,0.5276,0.4518
SBUX,0.8471,0.4547,0.2793,0.246,0.2003,0.4312,0.2655,0.3479,0.5176,0.6474
AMD,0.4175,0.4128,0.4,0.4024,0.2668,0.3864,0.4438,0.2679,0.2181,0.305
ISRG,0.2692,0.1949,0.1915,0.5019,0.4076,0.4286,0.484,0.227,0.2054,0.3903
C,0.3879,0.6489,0.5128,0.552,0.6543,0.6554,0.4204,0.3112,0.5146,0.6469
GOOGL,0.3417,0.3668,0.271,0.3881,0.2748,0.2293,0.3861,0.3177,0.4347,0.4634
HD,0.3948,0.3361,0.3812,0.314,0.4276,0.3201,0.3376,0.3664,0.3289,0.3863
VRTX,0.5326,0.4074,0.4856,0.2467,0.435,0.2044,0.2904,0.1714,0.1498,0.1631
SCHW,0.7055,0.6565,0.5922,0.4974,0.5315,0.5387,0.475,0.6827,0.5244,0.3844
BX,0.3264,0.6132,0.6351,0.6777,0.5998,0.5104,0.3564,0.6086,0.569,0.6551
UNP,0.275,0.2428,0.2406,0.245,0.2408,0.5878,0.4519,0.2803,0.2346,0.2541
NEE,0.3736,0.6917,0.7652,0.53,0.6801,0.3991,0.6649,0.7843,0.7749,0.5088
GILD,0.6069,0.5929,0.4121,0.3899,0.4409,0.4008,0.6983,0.4767,0.3551,0.4358
GE,0.6434,0.7281,0.7032,0.4818,0.7288,0.7941,0.6767,0.504,0.6432,0.5677
ANET,0.3534,0.3829,0.4177,0.4542,0.3845,0.334,0.3306,0.3242,0.3154,0.3765
AXP,,0.3422,0.4111,0.5165,0.2651,0.5825,0.5733,0.6238,0.6607,0.6604
CAT,,0.8661,0.7917,0.8241,0.6678,0.8602,0.3703,0.6729,0.4738,0.4547
JNJ,,0.486,0.3887,0.4759,0.4139,0.5124,0.5089,0.4391,0.3225,0.4808
WMT,,,,0.3701,0.3534,0.3257,0.5623,0.3377,0.2889,0.3486
SO,,,,,0.4676,0.9073,0.9353,0.821,0.7832,0.8758
T,,,,,,0.4641,0.394,0.5784,0.4839,0.4073
SHW,,,,,,0.2953,0.2895,0.3238,0.5326,0.5568
VZ,,,,,,,0.5468,0.4765,0.3897,0.4203
PFE,,,,,,,0.3703,0.3283,0.4928,0.3297
RTX,,,,,,,0.3525,0.39,0.6596,0.3905
